labels,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,funding_duration_days,funding_per_relationship,milestone_velocity,total_round_types,funding_total_usd_log,category_code_freq,state_code_freq
1,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,275,93750.0,0.3894030451318129,1,12.834683971615659,0.0065005417118093175,0.5287107258938245
1,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,1778,4010000.0,0.12491412154144027,4,17.50688691721445,0.0790899241603467,0.5287107258938245
1,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,433333.3333333333,0.6239276243955701,1,14.77102238760702,0.1560130010834236,0.5287107258938245
1,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,797,6666666.666666667,0.14280206206177617,3,17.50439003707821,0.1657638136511376,0.5287107258938245
0,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1,609,433333.3333333333,0.963020030816641,2,14.077875591662238,0.056338028169014086,0.5287107258938245
0,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,0,1875000.0,0.166591700401486,1,15.830413711839864,0.03683640303358613,0.5287107258938245
1,1.7205,5.211,3.0,6.6082,6,3,26000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,1274,3714285.714285714,0.2628742672379801,3,17.073607134447293,0.1657638136511376,0.5287107258938245
1,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,1867,1311538.4615384615,0.3587830080367394,3,17.344807971579257,0.0065005417118093175,0.5287107258938245
1,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1,2747,689285.7142857143,0.36381827277275,3,16.082468576942105,0.08559046587215602,0.08992416034669556
1,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1,1100,383333.3333333333,0.5621846495481441,3,15.564710586686562,0.1560130010834236,0.5287107258938245
1,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,1760,1195652.1739130435,0.25752620329118486,2,17.129696599000436,0.08559046587215602,0.5287107258938245
0,1.0849,5.3370000000000015,0.0,4.6082,8,5,10400000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,1552,1155555.5555555555,0.35662066260119113,3,16.15731646026544,0.1560130010834236,0.5287107258938245
0,4.9041,4.9041,0.0,0.0,0,1,350000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,350000.0,0.0,1,12.765691290604371,0.1560130010834236,0.0021668472372697724
1,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,882,621875.0,0.5578178167010654,3,16.11308320963728,0.004333694474539545,0.11484290357529794
1,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,1581,823076.9230769231,0.10164254350300862,2,16.185754392890075,0.1657638136511376,0.020585048754062838
0,6.6082,6.6082,0.0,0.0,0,1,200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,200000.0,0.0,1,12.206077645517674,0.027085590465872156,0.014084507042253521
0,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,1525,5444444.444444444,0.15381302488694742,5,17.707330876483063,0.020585048754062838,0.5287107258938245
1,4.5918,7.1726,0.0,12.6795,7,4,25000000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,942,3125000.0,0.21930626119375707,4,17.034386422832473,0.056338028169014086,0.5287107258938245
1,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,306,415909.0909090909,0.7494940914882454,2,15.336117475270969,0.1560130010834236,0.11484290357529794
0,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,120,2000000.0,0.6676755986824535,2,17.147715103853763,0.0790899241603467,0.5287107258938245
1,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,574,483888.8888888889,0.28575238603242337,2,15.286835397889838,0.1657638136511376,0.04550379198266522
0,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,0,3750000.0,0.21049529543014714,1,16.52356082573315,0.011917659804983749,0.04550379198266522
0,5.4904,5.4904,0.0,0.0,1,1,3170000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,1585000.0,1.0,1,14.969242461310827,0.1560130010834236,0.5287107258938245
0,0.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,1575,460000.0,0.45024763619991,2,14.648420115681892,0.08559046587215602,0.5287107258938245
0,0.2521,0.337,0.0,0.0,5,2,455000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,31,75833.33333333333,0.0,2,13.02805489573287,0.027085590465872156,0.020585048754062838
1,4.8411,4.8411,1.0,1.0,3,1,13000000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,0,3250000.0,0.5,1,16.380459992348886,0.1657638136511376,0.01950162513542795
1,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,0,1875000.0,0.24983136382941515,1,16.52356082573315,0.027085590465872156,0.5287107258938245
1,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,0,1266666.6666666667,0.4815332017142582,1,15.150511887854474,0.007583965330444204,0.5287107258938245
1,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,739,7881578.947368421,0.29954917848637796,3,19.517624978858677,0.1560130010834236,0.04550379198266522
1,1.189,1.189,2.189,7.7753,5,1,1000000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,0,166666.66666666666,0.34186865406310896,1,13.815511557963774,0.02925243770314193,0.5287107258938245
0,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,296,2625000.0,0.18123165029540758,2,16.166885910365842,0.011917659804983749,0.5287107258938245
1,4.1534,5.1671,3.0,3.0,6,2,8600000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,370,1228571.4285714286,0.25,2,15.967272877502799,0.027085590465872156,0.04550379198266522
0,0.0,2.0192,0.0,0.0,9,2,5000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,798,500000.0,0.0,2,15.424948670398354,0.1657638136511376,0.007583965330444204
1,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,317,576249.75,0.631492532600802,1,14.650591234412886,0.08559046587215602,0.5287107258938245
0,0.0822,0.0822,0.0,0.0,2,1,25000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,8333.333333333334,0.0,1,10.12667110305036,0.020585048754062838,0.018418201516793065
0,2.6575,2.6575,0.0,0.0,1,1,4000000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,2000000.0,1.0,1,15.201805169084134,0.1657638136511376,0.11484290357529794
0,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,356,1622222.2222222222,0.5626934258651412,2,16.496532155171714,0.1657638136511376,0.5287107258938245
0,1.063,5.7014,0.0,0.0,0,3,44000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,1693,44000000.0,0.0,2,17.599700214609808,0.02925243770314193,0.5287107258938245
1,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,906,165720.18181818182,0.5216756220981793,2,14.41595181469963,0.027085590465872156,0.5287107258938245
1,0.0,5.9041,3.8411,7.1370000000000005,18,7,29915001,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,2155,1574473.7368421052,0.6144770800049157,5,17.213870651662358,0.06717226435536294,0.11484290357529794
1,0.0,4.8027,3.7205,7.6164,26,4,33000000,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,1,1753,1222222.2222222222,0.5802887516828374,3,17.312018149733785,0.0790899241603467,0.011917659804983749
1,0.0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,213,12500.0,1.2543116964565695,1,11.736077016252437,0.08559046587215602,0.0021668472372697724
0,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,833,500000.0,0.5274539796402764,2,15.201805169084134,0.00866738894907909,0.5287107258938245
1,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,0,909090.9090909091,0.32111319240032116,1,16.118095750958314,0.0790899241603467,0.04550379198266522
1,4.6658,4.6658,8.7425,10.2247,25,1,6000000,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,1,0,230769.23076923078,0.3563569627696063,1,15.607270193858982,0.06717226435536294,0.5287107258938245
1,2.6247,2.6247,0.0,0.0,4,1,25000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,0,5000000.0,0.0,1,17.034386422832473,0.1657638136511376,0.5287107258938245
1,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,1,740,1250000.0,0.8016032064128256,2,15.137266664613225,0.00866738894907909,0.11484290357529794
1,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,0,300000.0,0.7510326699211415,1,14.914123179965662,0.1657638136511376,0.08992416034669556
1,0.189,1.189,1.3562,1.6575,6,2,1155000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,365,165000.0,0.7525870178739418,1,13.959611767738522,0.1657638136511376,0.5287107258938245
1,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,0,833333.3333333334,0.2251694400036027,1,16.118095750958314,0.1657638136511376,0.5287107258938245
1,2.5836,2.5836,2.0,2.0,5,1,3000000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,0,500000.0,0.3333333333333333,1,14.914123179965662,0.1560130010834236,0.5287107258938245
1,1.8932,2.4466,2.0,3.2767,4,2,11500000,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,202,2300000.0,0.7014754366684594,0,16.257857680289998,0.08559046587215602,0.08992416034669556
1,0.7479,0.7479,4.0493,8.3233,12,1,5000000,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,384615.3846153846,0.5362907983224824,1,15.424948670398354,0.1560130010834236,0.04550379198266522
1,5.1863,6.8137,7.3342,7.3342,9,2,29000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.0,1,594,2900000.0,0.11998752129778505,2,17.182806422433504,0.027085590465872156,0.08992416034669556
1,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5.0,1,2030,913157.8947368421,0.46526234980749764,6,17.36225027373553,0.0790899241603467,0.5287107258938245
0,1.1863,3.4986,0.0,0.0,0,2,12050000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,844,12050000.0,0.0,2,16.304575300888487,0.1657638136511376,0.5287107258938245
1,2.1644,4.7616,4.0027,6.7534,13,3,12000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,948,857142.8571428572,0.2579513503753192,3,16.300417291085605,0.020585048754062838,0.5287107258938245
1,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,1,0,289473.6842105263,0.3430414050975953,1,15.520258832020865,0.0032502708559046588,0.5287107258938245
1,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,790,2181818.1818181816,0.6392329204954055,2,16.993564429978885,0.1657638136511376,0.5287107258938245
1,5.2027,6.189,7.5068,12.8932,6,2,10000000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1,360,1428571.4285714286,0.14395531626982985,2,16.118095750958314,0.08559046587215602,0.0021668472372697724
0,2.7836,10.9507,0.0,0.0,10,3,19009671,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,1,2981,1728151.9090909092,1.0,1,16.760458460238958,0.03683640303358613,0.08992416034669556
0,3.4986,3.4986,3.0,3.0,6,1,5000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,0,714285.7142857143,0.25,1,15.424948670398354,0.024918743228602384,0.5287107258938245
1,4.0466,9.3041,6.0027,6.0027,2,5,18914576,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1,1919,6304858.666666667,0.14280206206177617,2,16.7554434525954,0.0790899241603467,0.04550379198266522
0,6.3726,6.3726,0.0,0.0,0,1,4000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,4000000.0,0.0,1,15.201805169084134,0.1657638136511376,0.0065005417118093175
1,1.3259999999999998,2.7836,1.6740000000000002,3.1342,5,3,2030882,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,532,338480.3333333333,0.4837695321948624,1,14.523981231813066,0.1657638136511376,0.08992416034669556
